Loan_ID,Customer_ID,Application_Date,Loan_Amount,Loan_Purpose,Interest_Rate,Loan_Term,Income,Employment_Type,Credit_Score,Existing_Loans,Debt_to_Income_Ratio,Application_Status,Default_Status,Repayment_Status,Branch,State,Gender
L102751,C51448,2023-12-16,1273917,Home,13.29,12,160325.0,Self-employed,777.0,0,34.7,Approved,No Default,On Time,Chennai,Tamil Nadu,Male
L102752,C51626,2024-01-05,897860,Education,16.31,60,128483.0,Freelancer,461.0,3,35.3,Rejected,Default,On Time,Hyderabad,Karnataka,Male
L102753,C52624,2024-04-16,160288,Personal,15.19,24,197139.0,Self-employed,494.0,4,45.7,Pending,No Default,Missed,Hyderabad,Karnataka,Male
L102754,C50406,2024-10-15,555599,Vehicle,13.77,12,126124.0,Self-employed,579.0,1,47.4,Rejected,Default,Missed,Bangalore,Maharashtra,Male
L102755,C52361,2023-07-31,523343,Education,9.47,12,87293.0,Self-employed,493.0,0,49.5,Pending,Default,Delayed,Hyderabad,Delhi,Female
L102756,C51855,2023-12-30,1753229,Personal,16.42,36,40982.0,Self-employed,656.0,0,9.6,Approved,No Default,Missed,Delhi,Maharashtra,Female
L102757,C50455,2023-07-26,1022224,Personal,17.42,36,178542.0,Freelancer,553.0,0,20.0,Rejected,Default,Delayed,Bangalore,Karnataka,Male
L102758,C52715,2024-04-09,1224886,Education,12.65,12,82234.0,Salaried,747.0,2,35.7,Approved,No Default,On Time,Mumbai,Karnataka,Female
L102759,C51887,2024-11-22,376605,Home,17.75,60,127707.0,Self-employed,825.0,5,33.6,Approved,No Default,On Time,Hyderabad,Maharashtra,Male
L102760,C51189,2024-03-21,212105,Vehicle,8.73,12,82577.0,Self-employed,375.0,1,6.2,Pending,Default,Missed,Mumbai,Telangana,Female
L102761,C51543,2024-04-20,1067175,Education,11.62,12,33649.0,Self-employed,423.0,0,40.3,Pending,No Default,On Time,Hyderabad,Maharashtra,Female
L102762,C50584,2023-03-12,453684,Home,16.76,12,60009.0,Self-employed,388.0,2,48.3,Rejected,Default,On Time,Bangalore,Maharashtra,Female
L102763,C52885,2023-10-21,1937009,Business,19.25,12,91632.0,Salaried,728.0,1,26.8,Approved,No Default,Delayed,Delhi,Tamil Nadu,Female
L102764,C53452,2023-09-29,1975887,Business,17.38,36,26895.0,Freelancer,506.0,5,29.9,Rejected,No Default,On Time,Hyderabad,Telangana,Male
L102765,C52796,2024-10-20,1261982,Home,18.56,24,87199.0,Freelancer,801.0,4,35.1,Approved,Default,On Time,Bangalore,Karnataka,Female
L102766,C51288,2023-02-17,697160,Home,11.88,12,192077.0,Self-employed,825.0,3,9.2,Approved,Default,Delayed,Delhi,Karnataka,Male
L102767,C50752,2024-10-04,21348,Business,7.81,24,174490.0,Business Owner,808.0,1,23.0,Approved,No Default,Delayed,Chennai,Tamil Nadu,Male
L102768,C50355,2024-04-30,1842511,Business,18.68,24,195241.0,Salaried,376.0,0,22.0,Pending,Default,On Time,Hyderabad,Karnataka,Female
L102769,C51733,2023-10-24,749637,Home,10.48,36,140332.0,Self-employed,559.0,2,18.9,Pending,Default,On Time,Bangalore,Tamil Nadu,Female
L102770,C50332,2023-04-13,1193865,Personal,12.19,36,177132.0,Freelancer,688.0,0,15.3,Approved,No Default,Delayed,Hyderabad,Tamil Nadu,Female
L102771,C52324,2023-04-05,293734,Home,20.87,36,145846.0,Freelancer,695.0,0,44.8,Approved,No Default,Delayed,Chennai,Tamil Nadu,Male
L102772,C52155,2023-11-25,191092,Home,19.52,60,180007.0,Self-employed,573.0,0,7.8,Pending,No Default,Missed,Hyderabad,Karnataka,Male
L102773,C50065,2024-09-23,1033212,Business,10.25,24,141376.0,Business Owner,667.0,3,47.1,Approved,No Default,Missed,Bangalore,Karnataka,Female
L102774,C52265,2023-08-26,794626,Home,13.77,36,51926.0,Freelancer,344.0,3,21.4,Rejected,No Default,Delayed,Bangalore,Tamil Nadu,Male
L102775,C50177,2023-03-15,114361,Home,14.83,60,87051.0,Self-employed,426.0,5,23.9,Pending,No Default,Delayed,Bangalore,Telangana,Female
L102776,C51594,2024-02-02,980937,Business,15.49,60,168651.0,Freelancer,316.0,5,43.8,Rejected,Default,On Time,Delhi,Telangana,Male
L102777,C53267,2023-08-29,27130,Business,9.25,60,96295.0,Self-employed,811.0,1,29.7,Approved,No Default,Missed,Hyderabad,Maharashtra,Male
L102778,C53377,2023-09-19,1034568,Education,8.37,36,119228.0,Salaried,765.0,4,57.4,Rejected,No Default,Delayed,Chennai,Delhi,Male
L102779,C50312,2023-03-05,205073,Home,11.22,12,88840.0,Freelancer,702.0,3,20.5,Approved,No Default,Delayed,Mumbai,Karnataka,Male
L102780,C51275,2023-02-01,1037538,Vehicle,16.44,36,156075.0,Self-employed,415.0,1,16.3,Rejected,Default,Missed,Bangalore,Karnataka,Male
L102781,C51534,2024-09-11,1702187,Home,19.06,12,74051.0,Self-employed,545.0,5,49.4,Rejected,No Default,On Time,Mumbai,Maharashtra,Female
L102782,C52524,2024-05-20,1254537,Business,12.04,60,140356.0,Business Owner,594.0,3,32.7,Approved,No Default,Missed,Bangalore,Telangana,Female
L102783,C50223,2024-04-25,127079,Personal,15.06,60,73640.0,Business Owner,834.0,3,16.7,Approved,No Default,Missed,Mumbai,Tamil Nadu,Female
L102784,C52196,2023-08-16,322425,Education,18.78,36,81962.0,Self-employed,663.0,2,9.3,Approved,No Default,Delayed,Delhi,Karnataka,Female
L102785,C52636,2023-07-30,1282209,Business,17.13,12,195772.0,Freelancer,368.0,2,21.1,Pending,Default,On Time,Bangalore,Delhi,Male
L102786,C51621,2023-10-11,130327,Vehicle,18.65,60,103475.0,Freelancer,667.0,3,6.3,Approved,No Default,Delayed,Chennai,Tamil Nadu,Female
L102787,C50125,2023-01-17,362891,Home,11.28,60,133239.0,Business Owner,707.0,3,16.8,Approved,No Default,Delayed,Chennai,Maharashtra,Female
L102788,C52563,2024-11-27,515452,Education,16.17,12,192353.0,Self-employed,504.0,5,28.3,Pending,Default,Missed,Chennai,Karnataka,Female
L102789,C53145,2023-02-10,29715,Home,9.97,12,61940.0,Salaried,644.0,5,6.1,Approved,No Default,Delayed,Hyderabad,Karnataka,Male
L102790,C51402,2024-05-05,1613387,Personal,7.94,12,124072.0,Salaried,837.0,0,53.0,Rejected,No Default,Delayed,Chennai,Karnataka,Male
L102791,C50993,2024-02-27,1633647,Personal,21.14,12,25302.0,Business Owner,519.0,0,42.6,Pending,Default,On Time,Hyderabad,Karnataka,Male
L102792,C50656,2024-10-16,1780013,Education,18.15,36,66178.0,Business Owner,656.0,5,40.0,Approved,No Default,On Time,Mumbai,Maharashtra,Female
L102793,C50117,2023-04-26,40320,Business,20.25,36,125755.0,Business Owner,586.0,0,19.1,Approved,No Default,Delayed,Bangalore,Maharashtra,Male
L102794,C51855,2023-04-21,259403,Vehicle,19.98,36,148496.0,Business Owner,694.0,3,50.9,Rejected,No Default,Delayed,Delhi,Delhi,Male
L102795,C51784,2023-08-02,144134,Business,19.65,36,38189.0,Self-employed,359.0,2,27.8,Rejected,No Default,Missed,Bangalore,Tamil Nadu,Female
L102796,C51383,2023-09-25,1589641,Home,12.76,36,97084.0,Self-employed,650.0,5,12.4,Approved,No Default,Missed,Delhi,Delhi,Male
L102797,C52065,2024-07-23,124496,Business,17.86,24,141133.0,Business Owner,821.0,1,13.9,Approved,No Default,On Time,Bangalore,Tamil Nadu,Female
L102798,C51131,2024-08-12,875481,Vehicle,20.23,12,32947.0,Salaried,434.0,1,19.1,Rejected,No Default,Missed,Bangalore,Maharashtra,Male
L102799,C52159,2024-10-20,1721441,Home,14.49,12,179060.0,Freelancer,344.0,4,49.0,Pending,No Default,Missed,Mumbai,Delhi,Male
L102800,C52507,2023-08-18,365224,Business,12.61,60,115745.0,Business Owner,839.0,5,44.8,Approved,No Default,Delayed,Chennai,Tamil Nadu,Male
L102801,C51531,2024-02-26,595263,Personal,18.12,12,100989.0,Freelancer,815.0,4,22.5,Approved,No Default,On Time,Mumbai,Tamil Nadu,Female
L102802,C51958,2023-03-24,1969461,Home,12.65,24,151298.0,Freelancer,501.0,5,29.2,Rejected,Default,Missed,Mumbai,Delhi,Female
L102803,C52616,2024-07-30,396348,Personal,13.64,12,89273.0,Freelancer,381.0,3,53.3,Rejected,No Default,On Time,Hyderabad,Telangana,Male
L102804,C51967,2023-10-25,390544,Personal,16.76,24,94381.0,Business Owner,727.0,5,47.4,Approved,No Default,Delayed,Delhi,Karnataka,Male
L102805,C50368,2024-05-19,892283,Business,20.23,12,89838.0,Salaried,588.0,3,48.1,Approved,No Default,Missed,Delhi,Tamil Nadu,Female
L102806,C50056,2023-06-29,1646291,Education,8.56,12,147299.0,Business Owner,364.0,1,14.6,Rejected,No Default,Delayed,Hyderabad,Karnataka,Female
L102807,C51270,2023-05-22,351234,Education,11.47,24,107686.0,Freelancer,370.0,3,57.8,Pending,No Default,Missed,Hyderabad,Tamil Nadu,Female
L102808,C50492,2024-06-01,1619589,Vehicle,17.38,12,124637.0,Freelancer,716.0,4,40.0,Approved,No Default,On Time,Delhi,Karnataka,Male
L102809,C51139,2024-06-05,1942627,Vehicle,16.35,12,150970.0,Self-employed,401.0,3,5.2,Rejected,No Default,Missed,Chennai,Karnataka,Female
L102810,C53442,2024-08-29,128951,Vehicle,18.6,60,137330.0,Business Owner,463.0,1,57.3,Rejected,No Default,Delayed,Mumbai,Tamil Nadu,Male
L102811,C52979,2024-10-25,648607,Personal,13.77,60,25340.0,Self-employed,481.0,0,57.5,Pending,Default,On Time,Delhi,Tamil Nadu,Female
L102812,C50768,2023-08-11,1826262,Personal,13.33,60,58353.0,Freelancer,744.0,4,52.3,Rejected,Default,On Time,Delhi,Telangana,Female
L102813,C52436,2023-04-20,1261266,Vehicle,11.55,60,38564.0,Self-employed,844.0,3,6.3,Approved,No Default,Delayed,Hyderabad,Maharashtra,Male
L102814,C52566,2023-11-01,1836047,Education,20.32,36,169444.0,Self-employed,768.0,3,11.8,Approved,No Default,Delayed,Hyderabad,Karnataka,Female
L102815,C50662,2023-07-30,1015471,Vehicle,19.95,36,37511.0,Freelancer,319.0,4,19.3,Rejected,No Default,On Time,Bangalore,Karnataka,Female
L102816,C52565,2023-04-04,1506004,Vehicle,11.78,12,106438.0,Freelancer,504.0,3,36.8,Pending,Default,Missed,Mumbai,Telangana,Male
L102817,C51281,2024-07-27,1355301,Business,18.86,36,67275.0,Salaried,674.0,2,24.2,Approved,No Default,Missed,Mumbai,Maharashtra,Male
L102818,C52889,2023-02-19,1453925,Education,18.41,24,105206.0,Self-employed,561.0,4,7.1,Pending,No Default,Delayed,Bangalore,Maharashtra,Male
L102819,C51172,2024-03-16,1660205,Business,14.32,36,65996.0,Salaried,417.0,2,28.0,Rejected,Default,Delayed,Bangalore,Maharashtra,Male
L102820,C52083,2023-03-10,778858,Home,10.53,60,75192.0,Salaried,531.0,0,40.0,Rejected,Default,Delayed,Hyderabad,Maharashtra,Female
L102821,C50587,2023-01-22,1843240,Business,20.98,60,106909.0,Self-employed,381.0,2,44.6,Rejected,No Default,Missed,Mumbai,Karnataka,Male
L102822,C52022,2023-06-29,665387,Home,17.27,36,108326.0,Freelancer,712.0,3,11.3,Approved,No Default,On Time,Bangalore,Maharashtra,Male
L102823,C52082,2024-07-18,1720367,Education,22.02,36,139969.0,Self-employed,518.0,0,58.7,Rejected,No Default,On Time,Delhi,Delhi,Male
L102824,C50183,2024-04-14,794345,Education,8.01,36,76490.0,Salaried,663.0,2,20.3,Approved,No Default,On Time,Chennai,Karnataka,Female
L102825,C50299,2023-12-18,767779,Home,8.77,24,81870.0,Freelancer,627.0,1,41.8,Approved,No Default,Missed,Bangalore,Maharashtra,Male
L102826,C51617,2024-07-25,1848931,Home,12.88,24,186104.0,Freelancer,673.0,2,11.0,Approved,No Default,On Time,Bangalore,Tamil Nadu,Female
L102827,C53332,2023-04-07,663905,Personal,20.54,12,151096.0,Salaried,722.0,2,20.3,Approved,No Default,Missed,Delhi,Tamil Nadu,Female
L102828,C50731,2024-12-31,1474833,Vehicle,12.44,60,72266.0,Freelancer,573.0,5,41.9,Pending,Default,On Time,Delhi,Tamil Nadu,Male
L102829,C50561,2023-03-23,440452,Business,13.96,36,130675.0,Self-employed,422.0,3,26.3,Pending,No Default,On Time,Delhi,Tamil Nadu,Female
L102830,C52247,2023-04-30,914758,Business,9.38,36,39593.0,Self-employed,656.0,0,42.2,Approved,No Default,Missed,Mumbai,Telangana,Female
L102831,C53118,2024-06-06,1526126,Vehicle,15.88,24,90245.0,Self-employed,728.0,0,27.4,Approved,No Default,Delayed,Chennai,Tamil Nadu,Female
L102832,C52679,2024-03-14,910737,Education,15.29,24,58756.0,Business Owner,659.0,3,31.8,Approved,No Default,On Time,Chennai,Karnataka,Female
L102833,C50267,2024-11-27,1099338,Home,20.87,12,119890.0,Self-employed,681.0,5,36.6,Approved,No Default,Missed,Hyderabad,Maharashtra,Male
L102834,C51918,2024-11-06,389074,Personal,10.73,60,105068.0,Salaried,538.0,0,40.0,Pending,No Default,Delayed,Bangalore,Maharashtra,Male
L102835,C53033,2024-02-02,202475,Business,12.92,60,118920.0,Self-employed,663.0,0,54.8,Rejected,No Default,Delayed,Hyderabad,Karnataka,Male
L102836,C52456,2024-03-22,880928,Business,17.71,24,46786.0,Business Owner,575.0,4,9.8,Pending,No Default,Delayed,Delhi,Maharashtra,Male
L102837,C53258,2024-05-22,215541,Education,10.96,24,62938.0,Salaried,492.0,1,24.5,Pending,No Default,On Time,Delhi,Tamil Nadu,Male
L102838,C52290,2024-02-15,1818001,Business,11.88,36,23540.0,Self-employed,351.0,3,33.0,Rejected,Default,Missed,Delhi,Tamil Nadu,Male
L102839,C51427,2024-05-23,244162,Business,20.82,60,67561.0,Salaried,577.0,3,29.1,Rejected,Default,Delayed,Hyderabad,Maharashtra,Female
L102840,C51365,2024-01-30,126541,Business,11.0,24,21104.0,Self-employed,444.0,5,19.4,Rejected,No Default,Missed,Mumbai,Delhi,Male
L102841,C52613,2023-11-27,1870036,Personal,9.24,60,25941.0,Salaried,585.0,1,32.7,Approved,Default,Delayed,Bangalore,Maharashtra,Female
L102842,C51463,2024-06-03,584152,Vehicle,18.02,60,42752.0,Business Owner,595.0,3,5.6,Approved,No Default,On Time,Bangalore,Delhi,Male
L102843,C51435,2023-01-06,1066605,Education,17.16,36,54156.0,Self-employed,344.0,0,53.9,Pending,No Default,Missed,Chennai,Maharashtra,Female
L102844,C52001,2023-05-23,327075,Education,17.1,60,142856.0,Freelancer,489.0,5,39.4,Pending,No Default,On Time,Mumbai,Telangana,Male
L102845,C51853,2024-07-01,1751098,Business,18.34,36,186879.0,Self-employed,827.0,1,19.9,Approved,Default,Missed,Bangalore,Delhi,Female
L102846,C52672,2024-08-06,618947,Personal,21.88,24,44287.0,Business Owner,817.0,0,27.9,Approved,No Default,Delayed,Bangalore,Karnataka,Female
L102847,C51234,2023-06-13,771544,Home,12.6,60,153946.0,Freelancer,760.0,0,22.7,Approved,No Default,Delayed,Chennai,Delhi,Female
L102848,C53020,2024-10-15,152627,Business,20.09,12,62023.0,Salaried,446.0,2,29.0,Rejected,Default,Delayed,Delhi,Delhi,Male
L102849,C50274,2024-11-29,591225,Business,22.34,12,44285.0,Freelancer,798.0,2,26.9,Approved,No Default,Delayed,Chennai,Tamil Nadu,Female
L102850,C51651,2024-12-06,902684,Business,18.3,60,154145.0,Freelancer,500.0,0,29.1,Rejected,Default,Missed,Chennai,Telangana,Female
L102851,C50567,2024-10-18,1128541,Business,11.95,36,195464.0,Salaried,775.0,3,59.6,Rejected,No Default,Missed,Bangalore,Delhi,Female
L102852,C51597,2024-09-03,978919,Business,9.74,60,129147.0,Business Owner,651.0,5,10.0,Approved,No Default,On Time,Bangalore,Delhi,Male
L102853,C51364,2023-11-13,116694,Home,17.03,60,105438.0,Self-employed,835.0,3,59.1,Rejected,No Default,Missed,Hyderabad,Delhi,Male
L102854,C53263,2024-02-12,1769738,Business,20.83,60,107322.0,Freelancer,655.0,0,41.7,Approved,No Default,Delayed,Delhi,Telangana,Male
L102855,C52838,2024-11-04,499956,Home,9.75,12,98565.0,Salaried,349.0,3,19.6,Rejected,Default,Missed,Bangalore,Delhi,Male
L102856,C51753,2023-03-09,681469,Education,14.82,60,149361.0,Freelancer,557.0,0,15.9,Pending,No Default,On Time,Chennai,Tamil Nadu,Male
L102857,C50778,2023-02-11,1342232,Vehicle,16.6,36,188251.0,Self-employed,549.0,1,56.9,Pending,No Default,On Time,Delhi,Delhi,Female
L102858,C52061,2024-10-07,1863275,Education,18.81,12,36880.0,Salaried,540.0,1,15.7,Rejected,No Default,Delayed,Bangalore,Telangana,Male
L102859,C53228,2023-06-03,500969,Business,21.52,36,194242.0,Self-employed,416.0,2,33.7,Rejected,Default,On Time,Delhi,Maharashtra,Male
L102860,C52272,2024-11-27,858287,Education,18.63,36,171163.0,Business Owner,608.0,2,35.5,Approved,No Default,Delayed,Hyderabad,Maharashtra,Male
L102861,C52385,2023-11-03,791251,Home,13.01,60,131900.0,Salaried,568.0,0,18.2,Pending,Default,On Time,Hyderabad,Karnataka,Female
L102862,C50620,2023-08-27,261160,Personal,15.44,60,93513.0,Business Owner,530.0,3,40.0,Pending,No Default,Delayed,Bangalore,Maharashtra,Female
L102863,C51782,2023-12-18,1760540,Home,10.79,12,141702.0,Salaried,713.0,1,9.8,Approved,No Default,Missed,Chennai,Karnataka,Female
L102864,C51887,2023-06-10,580966,Vehicle,15.29,36,111792.0,Self-employed,471.0,3,7.4,Pending,Default,Missed,Hyderabad,Karnataka,Male
L102865,C50931,2023-09-30,1413024,Vehicle,8.62,36,90927.0,Self-employed,525.0,2,22.0,Pending,Default,Delayed,Mumbai,Tamil Nadu,Female
L102866,C51975,2024-12-19,83420,Home,14.11,60,188301.0,Business Owner,824.0,5,29.2,Approved,No Default,Missed,Chennai,Tamil Nadu,Male
L102867,C52999,2023-12-08,460653,Business,7.81,24,41691.0,Salaried,678.0,0,12.2,Approved,No Default,Missed,Bangalore,Maharashtra,Male
L102868,C50391,2024-04-20,1474368,Vehicle,14.83,36,96634.0,Self-employed,392.0,5,51.8,Pending,Default,Missed,Delhi,Tamil Nadu,Female
L102869,C51578,2024-06-01,296291,Business,10.99,60,167586.0,Self-employed,715.0,1,57.8,Pending,No Default,Delayed,Bangalore,Karnataka,Male
L102870,C50188,2024-12-31,1734543,Home,14.42,24,75639.0,Salaried,359.0,0,20.7,Pending,No Default,On Time,Delhi,Telangana,Male
L102871,C51871,2024-11-03,1165117,Home,10.73,36,94735.0,Business Owner,505.0,2,29.3,Rejected,Default,On Time,Bangalore,Karnataka,Male
L102872,C53325,2023-10-28,1738825,Education,17.96,60,21811.0,Business Owner,646.0,3,58.4,Rejected,No Default,Missed,Mumbai,Delhi,Male
L102873,C52505,2024-05-13,279573,Education,13.4,60,129306.0,Freelancer,755.0,1,8.3,Approved,No Default,Missed,Bangalore,Maharashtra,Male
L102874,C52201,2024-12-09,668834,Vehicle,14.61,12,163158.0,Business Owner,544.0,2,15.8,Rejected,No Default,Missed,Bangalore,Maharashtra,Female
L102875,C51217,2024-01-27,42448,Vehicle,15.41,24,36279.0,Salaried,754.0,0,55.7,Pending,No Default,On Time,Chennai,Tamil Nadu,Female
L102876,C51496,2023-03-16,1886270,Personal,22.16,24,56979.0,Business Owner,484.0,2,9.1,Rejected,Default,On Time,Mumbai,Maharashtra,Male
L102877,C50843,2024-09-04,285744,Personal,17.52,60,153291.0,Business Owner,446.0,4,44.9,Rejected,Default,Delayed,Mumbai,Delhi,Female
L102878,C51346,2023-01-26,1014819,Personal,10.94,60,103933.0,Business Owner,666.0,0,13.7,Approved,No Default,On Time,Delhi,Maharashtra,Male
L102879,C51139,2024-01-02,1133709,Home,15.32,36,121526.0,Freelancer,376.0,3,20.3,Pending,Default,On Time,Mumbai,Tamil Nadu,Female
L102880,C51271,2024-08-11,1657380,Business,20.48,24,124334.0,Salaried,649.0,0,5.6,Approved,No Default,On Time,Delhi,Maharashtra,Female
L102881,C50888,2024-10-26,491254,Vehicle,21.31,36,28747.0,Self-employed,648.0,3,54.8,Rejected,No Default,Delayed,Delhi,Karnataka,Male
L102882,C51645,2024-01-21,1384025,Business,20.86,24,188473.0,Salaried,794.0,1,13.3,Approved,No Default,On Time,Mumbai,Tamil Nadu,Female
L102883,C52443,2023-09-08,673045,Personal,7.85,36,127056.0,Salaried,451.0,4,53.9,Pending,No Default,Missed,Hyderabad,Tamil Nadu,Male
L102884,C50340,2023-07-03,1950042,Home,20.47,24,37230.0,Self-employed,681.0,2,47.7,Approved,No Default,Delayed,Chennai,Karnataka,Male
L102885,C51102,2024-07-22,1739474,Personal,21.54,24,75868.0,Salaried,756.0,4,41.5,Approved,No Default,Missed,Hyderabad,Tamil Nadu,Male
L102886,C53097,2024-03-09,482364,Personal,22.27,24,54487.0,Self-employed,763.0,0,47.7,Approved,No Default,Missed,Hyderabad,Maharashtra,Female
L102887,C52705,2023-02-23,661086,Personal,10.72,24,31771.0,Business Owner,354.0,0,53.0,Rejected,Default,Missed,Hyderabad,Telangana,Female
L102888,C51879,2024-04-04,1175963,Business,14.48,60,80379.0,Freelancer,786.0,4,38.6,Approved,No Default,On Time,Mumbai,Delhi,Female
L102889,C50771,2023-09-07,1745299,Personal,13.17,36,135162.0,Freelancer,369.0,3,35.6,Pending,No Default,On Time,Chennai,Telangana,Male
L102890,C51996,2024-08-28,1023570,Vehicle,16.01,24,198863.0,Self-employed,523.0,3,7.2,Rejected,Default,Missed,Mumbai,Karnataka,Female
L102891,C51342,2023-01-01,124114,Education,15.21,36,102501.0,Salaried,682.0,1,59.5,Pending,No Default,Delayed,Delhi,Karnataka,Male
L102892,C50065,2023-01-13,709214,Vehicle,15.28,60,125502.0,Self-employed,476.0,5,29.1,Pending,Default,Missed,Bangalore,Tamil Nadu,Male
L102893,C50930,2023-05-20,1260999,Vehicle,15.3,24,75160.0,Freelancer,434.0,1,23.3,Pending,No Default,Missed,Mumbai,Telangana,Female
L102894,C50419,2023-12-09,528291,Personal,22.16,60,30975.0,Self-employed,463.0,5,42.9,Pending,No Default,Missed,Chennai,Telangana,Female
L102895,C50955,2023-11-12,533480,Education,20.64,24,20917.0,Self-employed,768.0,0,44.2,Approved,No Default,Missed,Bangalore,Karnataka,Female
L102896,C52994,2024-09-23,1025436,Personal,8.64,24,150685.0,Business Owner,586.0,4,23.0,Approved,Default,Delayed,Hyderabad,Karnataka,Female
L102897,C51415,2023-10-21,414386,Home,17.33,60,105494.0,Self-employed,738.0,2,42.2,Approved,No Default,Delayed,Bangalore,Karnataka,Female
L102898,C53450,2023-10-10,866210,Education,9.1,60,142797.0,Salaried,545.0,2,25.1,Rejected,No Default,Missed,Hyderabad,Telangana,Male
L102899,C53456,2023-09-14,599999,Home,20.46,24,164302.0,Salaried,618.0,3,17.6,Approved,No Default,Missed,Mumbai,Karnataka,Male
L102900,C51312,2023-02-24,682046,Personal,10.21,24,43793.0,Salaried,462.0,3,46.2,Rejected,No Default,Delayed,Chennai,Tamil Nadu,Male
L102901,C50646,2024-10-05,1302871,Education,20.64,24,54533.0,Self-employed,769.0,3,14.9,Approved,No Default,Missed,Bangalore,Karnataka,Female
L102902,C51344,2023-02-04,1233437,Education,20.49,36,127785.0,Business Owner,682.0,0,6.2,Approved,No Default,Delayed,Bangalore,Maharashtra,Female
L102903,C51706,2023-01-17,236701,Vehicle,9.49,12,113162.0,Salaried,794.0,3,17.2,Approved,No Default,On Time,Bangalore,Karnataka,Male
L102904,C53316,2023-07-17,630503,Business,16.14,36,66275.0,Salaried,614.0,0,41.9,Approved,No Default,On Time,Bangalore,Tamil Nadu,Male
L102905,C53228,2024-07-22,544558,Education,12.2,36,182057.0,Salaried,639.0,1,18.2,Approved,No Default,Missed,Hyderabad,Delhi,Male
L102906,C50155,2023-04-29,1402701,Personal,20.8,60,168437.0,Salaried,776.0,1,41.8,Approved,No Default,Missed,Chennai,Karnataka,Female
L102907,C50433,2023-02-21,130386,Business,21.65,60,27307.0,Freelancer,748.0,0,30.9,Approved,No Default,Missed,Delhi,Telangana,Female
L102908,C51157,2024-03-02,1649106,Business,15.05,24,184771.0,Salaried,348.0,1,38.1,Pending,Default,On Time,Bangalore,Telangana,Female
L102909,C53092,2023-05-19,1469318,Vehicle,11.93,24,177870.0,Freelancer,465.0,3,40.0,Pending,Default,Missed,Chennai,Tamil Nadu,Male
L102910,C51099,2023-10-25,1918360,Personal,9.39,36,105851.0,Salaried,817.0,5,44.4,Approved,No Default,On Time,Mumbai,Maharashtra,Male
L102911,C52026,2024-06-25,997922,Personal,11.21,60,155341.0,Self-employed,718.0,2,43.2,Approved,No Default,Delayed,Chennai,Telangana,Female
L102912,C51163,2024-07-28,1581493,Home,22.26,12,124351.0,Freelancer,705.0,0,23.1,Approved,No Default,On Time,Mumbai,Maharashtra,Female
L102913,C51131,2023-12-18,1425239,Education,13.69,36,86491.0,Self-employed,578.0,0,9.5,Rejected,No Default,Delayed,Hyderabad,Maharashtra,Male
L102914,C50917,2023-10-26,768908,Personal,14.83,36,94344.0,Self-employed,606.0,5,59.0,Pending,No Default,Missed,Mumbai,Telangana,Female
L102915,C52567,2023-11-05,877994,Business,17.49,12,45650.0,Business Owner,779.0,1,50.5,Rejected,No Default,Delayed,Delhi,Delhi,Female
L102916,C52263,2023-10-12,1823841,Home,18.66,36,104389.0,Salaried,385.0,3,6.1,Rejected,Default,On Time,Delhi,Delhi,Female
L102917,C53351,2023-03-01,439741,Business,19.07,24,90677.0,Salaried,371.0,2,15.8,Pending,No Default,On Time,Mumbai,Tamil Nadu,Male
L102918,C52567,2023-11-21,278328,Home,20.41,60,78025.0,Business Owner,625.0,1,48.1,Approved,No Default,Missed,Bangalore,Telangana,Male
L102919,C52977,2023-02-27,1489652,Vehicle,16.17,12,116434.0,Self-employed,762.0,2,12.6,Approved,No Default,Delayed,Bangalore,Karnataka,Male
L102920,C51129,2023-03-09,762030,Business,15.5,36,157486.0,Freelancer,469.0,4,21.8,Rejected,Default,Delayed,Chennai,Delhi,Female
L102921,C50989,2023-07-02,1170574,Vehicle,21.36,24,197049.0,Business Owner,514.0,1,6.3,Pending,Default,Missed,Hyderabad,Telangana,Male
L102922,C51574,2023-06-14,1782117,Business,20.08,12,189370.0,Freelancer,732.0,2,22.9,Approved,No Default,Delayed,Hyderabad,Tamil Nadu,Female
L102923,C50695,2024-02-19,836734,Vehicle,8.54,12,41338.0,Salaried,317.0,3,29.5,Rejected,No Default,Missed,Bangalore,Telangana,Female
L102924,C51679,2023-07-29,1805650,Home,21.05,36,21332.0,Salaried,414.0,5,41.7,Pending,Default,Delayed,Bangalore,Tamil Nadu,Male
L102925,C51097,2024-02-24,1271202,Education,8.71,24,74972.0,Salaried,445.0,3,17.9,Rejected,Default,Delayed,Chennai,Maharashtra,Male
L102926,C50354,2023-12-01,370218,Vehicle,7.66,12,77288.0,Business Owner,406.0,0,9.3,Pending,No Default,Delayed,Hyderabad,Telangana,Female
L102927,C51742,2024-11-12,756290,Personal,8.25,12,181973.0,Self-employed,571.0,2,17.9,Pending,No Default,Delayed,Bangalore,Delhi,Male
L102928,C53271,2024-05-07,1701091,Education,7.67,24,152139.0,Self-employed,496.0,1,45.6,Pending,Default,Missed,Mumbai,Karnataka,Female
L102929,C51994,2023-03-28,774891,Home,8.11,60,150146.0,Salaried,320.0,5,16.5,Pending,No Default,Missed,Mumbai,Maharashtra,Female
L102930,C53184,2024-11-08,564064,Home,22.16,60,197969.0,Salaried,317.0,5,6.1,Rejected,No Default,Missed,Delhi,Delhi,Female
